Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
223,Sweat,6/18/2021,MUBI,Drama,"$11,546 ","1,260"
225,Who You Think I Am,9/3/2021,Cohen Media Group,Drama,"$11,223 ","1,225"
226,The Aerialist,1/29/2021,Indie Rights,Drama,"$11,010 ","1,201"
227,Sabaya,7/30/2021,Self Distributed,Documentary,"$10,450 ","1,140"
228,"Casanova, Last Love",7/14/2021,Dada Films,Drama,"$9,927 ","1,083"
229,Can You Bring It: Bill T. J…,7/16/2021,Kino Lorber,Documentary,"$9,723 ","1,061"
230,The Incredible 25th Year of…,2/12/2021,Indican Pictures,Comedy,"$9,721 ","1,061"
231,Zombie Bro,1/8/2021,Indican Pictures,Comedy,"$9,693 ","1,058"
232,The Hidden Life of Trees,7/23/2021,Mongrel Media,Documentary,"$9,562 ","1,043"
233,All the Streets are Silent:…,7/23/2021,Greenwich,Documentary,"$9,500 ","1,037"
234,Average Joe,1/8/2021,Indican Pictures,Action,"$9,176 ","1,001"
235,Enemies of the State,7/30/2021,IFC Films,Documentary,"$8,495 ",927
236,There Is No Evil,5/14/2021,Kino Lorber,Drama,"$8,063 ",880
237,Yakuza Princess,9/3/2021,Magnolia Pictures,Thriller/Suspense,"$8,056 ",879
238,White as Snow,8/13/2021,Dada Films,Comedy,"$7,881 ",860
239,Prisoners of the Ghostland,9/10/2021,RLJ Entertainment,Action,"$7,264 ",793
240,Final Frequency,6/11/2021,Integrity Releasing,Thriller/Suspense,"$7,098 ",774
241,The Boonies,3/31/2021,Indican Pictures,Horror,"$6,887 ",751
242,Waiting for Rain (비와 당신의 이야…,4/30/2021,Sony Pictures,Drama,"$6,708 ",732
243,Ghost Master,5/14/2021,Indican Pictures,Horror,"$6,136 ",669
244,Angelique’s Isle,2/19/2021,Indican Pictures,Thriller/Suspense,"$6,055 ",661
245,We Need to Do Something,9/3/2021,IFC Midnight,Horror,"$6,009 ",656
246,Dark State,3/19/2021,Atlas Distribution,Thriller/Suspense,"$5,824 ",635
247,Here After,7/23/2021,Vertical Entertai…,Comedy,"$5,612 ",612
248,Tomato Red: Blood Money,1/29/2021,Indican Pictures,Thriller/Suspense,"$5,504 ",600
249,Rock Paper Scissors,7/16/2021,Indican Pictures,Comedy,"$5,497 ",600
250,Two of Us,2/5/2021,Magnolia Pictures,Comedy,"$5,495 ",599
251,Blood Brothers,4/2/2021,Indican Pictures,Thriller/Suspense,"$5,191 ",566
253,Things Don’t Stay Fixed,3/26/2021,Indican Pictures,Drama,"$4,905 ",535
255,Scales,7/9/2021,Variance Films,Drama,"$4,617 ",504
256,Victim of Love,7/23/2021,Indican Pictures,Horror,"$4,612 ",503
257,Bill Traylor: Chasing Ghosts,4/16/2021,Kino Lorber,Documentary,"$4,504 ",491
258,No Place,3/5/2021,Indican Pictures,Action,"$4,194 ",457
260,The Year of the Everlasting…,9/3/2021,Neon,Multiple Genres,"$3,374 ",368
261,Naked Singularity,8/6/2021,Screen Media Films,Drama,"$3,050 ",332
264,A Glitch in the Matrix,2/5/2021,Magnolia Pictures,Documentary,"$2,238 ",244
265,Escape From Auschwitz,5/7/2021,Mongrel Media,Drama,"$2,201 ",240
266,Crack House of the Dead,6/18/2021,Self Distributed,Horror,"$1,816 ",198
269,Skyfire,2/12/2021,Screen Media Films,Action,"$1,105 ",120
271,Slalom,4/9/2021,Kino Lorber,Drama,"$1,052 ",114
272,The Evil Next Door,6/25/2021,Magnet Releasing,Horror,"$1,010 ",110
